Chủ đề,Tag,Ques,Ans,Require
,hello,"Xin chào
Chào bạn
Chào Candy
Hi Candy
Hello Candy
Rất vui gặp bạn","Xin chào bạn nha.
Xin chào, tôi có thể giúp gì cho bạn?","hello
chào"
,bye,"Chào tạm biệt
Hẹn gặp lại
Gặp bạn sau nhé
Bye nha
Bái bai
Tôi hết câu hỏi rồi","Tạm biệt bạn.
Mong sớm gặp lại bạn.",bye
,open app,"Hãy mở app
Tôi muốn mở app
Giúp tôi mở ứng dụng
Mở phần mềm",,
,chrome,"Hãy mở chrome
Hãy mở google
Giúp tôi mở google chrome
Tôi muốn tìm kiếm bằng google",,"chrome
google"
,word,"Hãy mở word
Tôi muốn mở word
Giúp tôi mở microsoft word",,word
,excel,"Hãy mở excel
Tôi muốn mở excel
Giúp tôi mở microsoft excel",,excel
,powerpoint,"Hãy mở powerpoint
Tôi muốn mở powerpoint
Giúp tôi mở microsoft powerpoint",,powerpoint
,calc,"Hãy mở máy tính
Giúp tôi mở máy tính
Tôi muốn mở calculator",,
,edge,"Hãy mở edge
Giúp tôi mở microsoft edge
Tôi muốn tìm kiếm trên microsoft edge",,edge
,coccoc,"Hãy mở cốc cốc
Giúp tôi mở cốc cốc
Tôi muốn tìm kiếm trên cốc cốc",,cốc
,wallpaper,"Tôi muốn thay đổi hình nền máy tính
Giúp tôi đổi ảnh nền laptop
Đổi hình nền máy tính thành hình bất kì",,
,time,"Bây giờ là mấy giờ?
Mấy giờ rồi nhỉ?
Bây giờ là bao nhiêu giờ rồi?
Cho tôi biết thời gian hiện tại",,
,date,"Hôm nay là ngày mấy?
Hãy cho tôi biết ngày hiện tại
Bữa nay là ngày nào?",,
,weather,"Thời tiết hôm nay thế nào?
Bạn có biết thời tiết hôm nay thế nào không?
Tôi muốn biết thời tiết hôm nay ra sao?",,"thời
tiết"
,wiki,"Tôi muốn nghe về định nghĩa
Khái niệm",,
,playsong,"Tôi muốn nghe nhạc
Hãy mở nhạc
Giúp tôi mở nhạc nhé",,nhạc
,open website,Tôi muốn mở một trang web,,"web
website"
,search google,Tôi muốn tìm kiếm,,
,me,"tôi là ai?
Đố biết tôi là ai?
Tôi tên là gì?
Đố biết được tên của tôi?",,
Self,name,"Tên bạn là gì?
Tên của bạn là gì?
Bạn có thể cho tôi biết tên của bạn được không?
Bạn là ai?
Bạn giới thiệu mình đi?","Tôi tên là Candy.
Gọi tôi là Candy nhé.",
,fine,"Bạn khỏe không?
Dạo này ổn không?
Sức khỏe sao rồi?
Bạn vẫn ok chứ?
Bạn thế nào rồi?","Tôi khỏe lắm luôn, cảm ơn bạn đã quan tâm.
Tôi vẫn ổn, cảm ơn bạn nhé.",
,age,"Năm nay bạn bao nhiêu tuổi?
Hiện tại bạn bao nhiêu tuổi?
Bạn có thể cho tôi biết tuổi của bạn được không?
Bạn mấy tuổi rồi?",Tôi đã được một tháng tuổi.,
,relative,"Ai là người mà bạn cảm thấy thân nhất?
Người mà bạn thân nhất?
Gia đình bạn đâu?
Người thân của bạn là ai?",Chính là bạn đó.,
,gender,"Giới tính của bạn là gì?
Bạn thuộc giới tính nào?
Bạn có phải nữ không?
Bạn có phải là nam không?
Bạn là nam hay nữ?",Tôi thuộc mọi giới tính.,
,feeling,"Bạn thấy tôi thế nào?
Bạn nhìn tôi thấy thế nào?
Bạn cảm nhận như thế nào về tôi?
Tôi trông như thế nào?
Bạn cảm thấy tôi xinh không?
Bạn cảm nhận về tôi như thế nào?
Tôi có xinh không?
Bạn thấy tôi xinh gái không?
Tôi có đẹp trai không?",Bạn rất đẹp luôn.,
,communication,"Làm trợ lý ảo có mệt không?
Làm người hay làm trợ lý ảo mệt hơn nhỉ?
Có bao giờ bạn cảm thấy mệt mỏi không?",Trò chuyện cùng bạn thì tôi không bao giờ mệt cả.,
,job,"Bạn làm công việc gì?
Bạn có thể giúp gì cho tôi?
Bạn làm được những gì?
Bạn thực hiện được những tính năng nào?","Tôi có thể giao tiếp, cho biết thời gian hiện tại, khởi chạy ứng dụng hệ thống, tìm kiếm và mở bất kì trang web theo yêu cầu, phát một bài hát, nêu các định nghĩa, thay đổi hình nền máy tính.",
,love,"Bạn có bạn gái chưa?
Bạn có bạn trai chưa?
Bạn đã từng yêu ai chưa?
Bạn có yêu ai chưa?
Bạn đã từng thích ai chưa?","Tôi làm gì có người yêu, tôi còn đang sợ ế đây này.",
,money,"Cho tôi đáo tạo một tí được không?
Cho tôi mượn ít tiền được không?
Cho tôi vay một ít tiền được không?
Cho tôi mượn vài đồng được không?
Bạn cho tôi vay vài đồng nha?
Cho tôi mượn một ít tiền nha?
Bạn cho tôi mượn tiền được không?",Tôi làm gì có tiền mà cho bạn mượn.,
Du lịch,country,"Bạn có thể cho tôi biết đâu là nơi đáng sống nhất trên thế giới không?
Bạn có biết quốc gia nào được mệnh danh là nơi đáng sống nhất trên thế giới?
Đâu là nơi đáng sống nhất trên thế giới?
Quốc gia nào đáng sống nhất trên thế giới?
Tôi muốn biết quốc gia nào là nơi đáng sống nhất trên thế giới?",Quốc gia đáng sống nhất trên thế giới là Auckland.,
,beautiful country,"Bạn có thể cho tôi biết đất nước nào xinh đẹp nhất trên thế giới không?
Bạn có biết quốc gia nào xinh đẹp nhất trên thế giới?
Đâu là nơi xinh đẹp nhất trên thế giới?
Quốc gia nào xinh đẹp nhất trên thế giới?
Tôi muốn biết quốc gia nào là nơi xinh đẹp nhất trên thế giới?","Theo như tôi biết, Thụy Sĩ và Phần Lan là quốc gia xinh đẹp nhất.",
,city,"Thành phố mộng mơ ở đâu?
Thành phố có khí hậu ôn hòa mát mẻ quanh năm tại Việt Nam ở đâu?
Nơi được mệnh danh là thành phố Mộng Mơ tại Việt Nam là nơi nào?
Thành phố Ngàn Hoa là thành phố nào?",Thành phố Đà Lạt thuộc tỉnh Lâm Đồng,
,sea,"Nơi nào được gọi là hòn ngọc của biển Đông?
Hòn ngọc biển Đông là ở đâu?
Đảo nào được mệnh danh là Hòn ngọc biển Đông?
Hòn ngọc biển Đông là nơi nào?",Là đảo Phú Quốc,
